User Query,incident,incident_L2_score,incident_predicted,incident_true,policy,policy_L2_score,policy_predicted,policy_true
Someone posted nude images of my friend on Facebook.,'defamation via facebook misuse bokse yadav aged 24 from bara district kalaiya submetropolitan city ward no 4 was arrested for misusing facebook to share confidential photos with the intent to defame individuals the accused is charged under the electronic transactions act 2063 ',0.876605,1,1,'punishment for unauthorized access to facebook accounts if a person gains unauthorized access to a facebook account through hacking phishing or any other means and uses or distributes the accounts information unlawfully heshe shall be punished with imprisonment up to 2 years or a fine up to 150000 rupees or both ',0.9782773,1,1
Someone posted nude images of my friend on Facebook.,'blackmail using obscene activities pathibhara mata created a fake facebook account to solicit photos and videos from victims under the pretense of job offers blackmailing them with threats of public exposure ',0.89098424,1,1,'punishment for data breach and privacy violations on facebook if a person illegally accesses shares or uses private information obtained from facebook without consent leading to a breach of privacy heshe shall be punished with imprisonment up to 3 years or a fine up to 300000 rupees or both ',1.0154301,1,1
Someone posted nude images of my friend on Facebook.,'misuse of facebook for defamation an individual misused facebook to befriend victims and engage in conversations leading to the sharing of confidential photos which were later used to defame the victims character the individual krishna prasad adhikari aged 19 from tanahun district bhanu municipality ward no 9 was arrested under the electronic transactions act 2063 ',0.91972494,1,1,'punishment for cyber harassment on facebook if a person uses facebook to harass intimidate or threaten another individual including sending abusive messages or posting harmful content heshe shall be punished with imprisonment up to 1 year or a fine up to 100000 rupees or both ',1.0601029,1,1
Someone posted nude images of my friend on Facebook.,'arrest for character assassination and harassment of minors using social media photos an individual was arrested for downloading photos of minors from social media platforms like facebook and using them for character assassination and harassment the individual created fake accounts and sent inappropriate messages the cyber bureau conducted the investigation and arrested the individual ',0.9201491,1,1,'punishment for spreading misinformation or fake news on facebook if a person spreads false information or fake news on facebook with the intent to deceive or cause harm leading to public disturbance or other adverse effects heshe shall be punished with imprisonment up to 2 years or a fine up to 200000 rupees or both ',1.0751729,1,1
Someone posted nude images of my friend on Facebook.,'rauthat district social media incident a 20yearold man from rauthat was charged for editing and posting a photo of a young woman on facebook with a derogatory caption the incident escalated after the man was angered by a phone call and used the womans photo to defame her publicly ',0.97359264,1,1,'punishment for online fraud via facebook if a person commits fraud on facebook including creating fake profiles for financial gain scamming users or engaging in deceptive practices heshe shall be punished with imprisonment up to 5 years or a fine up to 500000 rupees or both ',1.1310623,1,1
Someone posted nude images of my friend on Facebook.,'arrest of individual misusing social media to defame character an individual rojan bhattarai aged 19 was arrested for misusing social media platforms particularly facebook to befriend victims gain access to private photos and later threaten and defame their character the victims mostly women filed complaints with nepal polices cyber bureau the accused was arrested under the electronic transactions act of 2063 ',1.0608486,1,1,'punishment for uploading and sharing pornographic content on social media if a person uploads shares or posts pornographic content on social media platforms without consent or in violation of the platforms terms heshe shall be punished with imprisonment up to 5 years or a fine up to 750000 nepalese rupees or both ',1.1391332,1,1
Someone posted nude images of my friend on Facebook.,'arrest of individual for defamation of womens character by posting photos and videos on social media khemraj thapa magar has been arrested for defaming a womans character by posting her photos and videos on facebook causing significant distress to the victim and her family the police have arrested the accused for further legal action and the case is under investigation ',1.0777564,1,1,'punishment for production of pornographic content without consent if a person produces or records pornographic content involving individuals without their consent heshe shall be punished with imprisonment up to 8 years or a fine up to 1500000 nepalese rupees or both ',1.2669997,0,0
Someone posted nude images of my friend on Facebook.,'individual arrested for character assassination of a minor an individual arrested for character assassination of a minor by downloading their picture from facebook creating a fake id and posting obscene content leading to defamation ',1.0854945,1,1,'punishment for distribution of illegal pornographic content if a person distributes shares or sells pornographic content that is illegal under local laws including content involving minors or nonconsensual material heshe shall be punished with imprisonment up to 7 years or a fine up to 1000000 nepalese rupees or both ',1.2878553,0,0
Someone posted nude images of my friend on Facebook.,'arrest of the fugitive accused in the harassment of a woman through facebook messenger the accused befriended a woman through facebook messenger and harassed her during their conversations the accused took screenshots of the chats and shared manipulated and offensive content on social media damaging the womans dignity and reputation the victim reported the harassment to the cyber bureau which launched an investigation ',1.0956814,1,0,'punishment for publishing offensive material if a person publishes or displays material against morals etiquette hatred or malice on a computer internet and other electronic media the culprit can be punished with a fine of 1 lakh rupees or imprisonment for up to 5 years or both ',1.2885495,0,0
Someone posted nude images of my friend on Facebook.,'person arrested for distributing child sexual abuse material online an individual has been arrested for making defamatory comments proposing love and sending obscene videos to a young woman on social media the arrest followed a complaint from the victim and necessary legal actions have been initiated the accused from kamalamai municipality ward no 6 sindhuli district was arrested on 20800614 the individual is currently under investigation ',1.117813,0,0,'punishment for facilitating access to pornographic content by minors if a person facilitates provides or fails to prevent access to pornographic content to individuals under the age of 18 heshe shall be punished with imprisonment up to 3 years or a fine up to 500000 nepalese rupees or both ',1.3043557,0,0
